节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
预防措施及诊疗建议 ,替代治疗,建议适用,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,运动,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,筛查,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,非苯二氮草类药物,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,散步,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,抗组胺药,建议适用,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
预防措施及诊疗建议 ,运动,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,改善睡眠习惯,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,筛查,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,抗组胺药,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,减重,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,口腔矫治器,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,手术,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,认知行为疗法,建议适用,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
预防措施及诊疗建议 ,运动,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,氯硝西泮治疗,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,行为干预,建议适用,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
预防措施及诊疗建议 ,氯硝西泮治疗,建议适用,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
预防措施及诊疗建议 ,药物治疗,建议适用,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
预防措施及诊疗建议 ,运动,建议适用,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
预防措施及诊疗建议 ,运动,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,抗组胺药,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,药物治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,减重,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,手术,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,氟西汀,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,苯海拉明,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,普拉克索治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,游泳,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,筛查,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,冥想,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,行为干预,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,阿米替林,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,太极,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,深呼吸,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,心理治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,瑜伽,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,减肥,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,口腔矫治器,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,饮食控制,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,慎用镇静催眠药物,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,心理疏导,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,佩戴面罩,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,替代治疗,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,心理干预,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,控制肥胖,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,早期诊断,建议适用,睡眠医学,疾病病种,睡眠医学_14370617
预防措施及诊疗建议 ,规律作息,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,放松训练,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,深呼吸,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,冥想,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,运动,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,药物治疗,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,抗组胺药,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,苯海拉明,建议适用,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
预防措施及诊疗建议 ,替代治疗,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,抗组胺药,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,运动,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,筛查,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,苯海拉明,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,药物治疗,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,瑜伽,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,规律作息,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
预防措施及诊疗建议 ,药物治疗,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,心理治疗,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,运动,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,抗组胺药,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,苯海拉明,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,行为干预,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,替代治疗,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,慢跑,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,非苯二氮草类药物,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,冥想,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,太极,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,慎用镇静催眠药物,建议适用,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
预防措施及诊疗建议 ,筛查,建议适用,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
预防措施及诊疗建议 ,运动,建议适用,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
预防措施及诊疗建议 ,手术,建议适用,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
预防措施及诊疗建议 ,减重,建议适用,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
预防措施及诊疗建议 ,替代治疗,建议适用,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
预防措施及诊疗建议 ,口腔矫治器,建议适用,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
预防措施及诊疗建议 ,药物治疗,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,运动,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,筛查,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,心理治疗,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,阿米替林,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,氟西汀,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,口腔矫治器,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,手术,建议适用,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
预防措施及诊疗建议 ,运动,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,筛查,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,规律作息,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,行为干预,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,认知行为疗法,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,非苯二氮草类药物,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,减重,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,控制相关危险因素,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,早期诊断,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,控制肥胖,建议适用,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
预防措施及诊疗建议 ,运动,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,音乐疗法,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,太极,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,筛查,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,氯硝西泮治疗,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,规律作息,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,替代治疗,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,减肥,建议适用,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
预防措施及诊疗建议 ,运动,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,筛查,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,规律作息,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,药物治疗,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,行为干预,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,认知行为疗法,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,非苯二氮草类药物,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,减重,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,控制相关危险因素,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,早期诊断,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,控制肥胖,建议适用,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
预防措施及诊疗建议 ,运动,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,抗组胺药,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,药物治疗,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,减重,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,手术,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,氟西汀,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,苯二氮草类药物,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,苯海拉明,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,普拉克索治疗,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,游泳,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,筛查,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,冥想,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,行为干预,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,阿米替林,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,太极,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,深呼吸,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,心理治疗,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,瑜伽,建议适用,睡眠障碍,疾病病种,《睡眠医学》
预防措施及诊疗建议 ,减肥,建议适用,睡眠障碍,疾病病种,《睡眠医学》
