节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
症状与临床表现 ,夜间呼吸暂停,关联,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
睡眠障碍相关疾病,肥胖,关联,多发性硬化,疾病病种,儿童中枢性睡眠呼吸暂停56例临床分析
睡眠障碍相关疾病,癫痫,关联,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
睡眠障碍相关疾病,精神障碍,关联,孤独症谱系障碍,疾病病种,孤独症谱系障碍儿童睡眠障碍临床实践相关指南解读
睡眠障碍相关疾病,精神障碍,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
睡眠障碍相关疾病,抑郁症,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
睡眠障碍相关疾病,焦虑症,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
症状与临床表现 ,入睡困难,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
症状与临床表现 ,睡眠维持困难,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
症状与临床表现 ,难以入睡,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
症状与临床表现 ,情绪不稳,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
症状与临床表现 ,呼吸暂停,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
症状与临床表现 ,抑郁症状,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
睡眠障碍相关疾病,癫痫,关联,失眠症,疾病病种,基层医疗机构失眠症诊断和治疗 中国专家共识
睡眠障碍相关疾病,环境,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
症状与临床表现 ,频繁觉醒,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
症状与临床表现 ,睡眠维持困难,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
睡眠障碍相关疾病,年龄,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
症状与临床表现 ,入睡困难,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
睡眠障碍相关疾病,温度,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
睡眠障碍相关疾病,湿度,关联,绝经相关失眠,疾病病种,绝经相关失眠临床管理中国专家共识
睡眠障碍相关疾病,癫痫,关联,偏头痛,疾病病种,慢性偏头痛住院患者医疗质量评价与改进专家共识
睡眠障碍相关疾病,帕金森病,关联,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
症状与临床表现 ,呼吸暂停,关联,睡眠期周期性肢体运动,疾病病种,脑卒中伴睡眠期周期性肢体运动患者的睡眠结构研究
症状与临床表现 ,呼吸暂停,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,高血压,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,肥胖,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,打鼾,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,癫痫,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,抑郁症,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,抑郁症状,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,日间嗜睡,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,冠心病,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,入睡困难,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,频繁觉醒,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,夜间呼吸暂停,关联,阻塞性睡眠呼吸暂停,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,帕金森病,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,入睡困难,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,睡眠维持困难,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,呼吸暂停,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,打鼾,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,精神障碍,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,癫痫,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
睡眠障碍相关疾病,焦虑症,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,觉醒次数增加,关联,认知功能损害患者睡眠障碍,疾病病种,认知功能损害患者睡眠障碍评估和管理的专家共识
症状与临床表现 ,呼吸暂停,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,帕金森病,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,多发性硬化,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,精神障碍,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,抑郁症,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
症状与临床表现 ,抑郁症状,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
症状与临床表现 ,打鼾,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
症状与临床表现 ,日间嗜睡,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,癫痫,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,肥胖,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
症状与临床表现 ,呼吸努力相关觉醒,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
症状与临床表现 ,中枢性呼吸暂停,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
症状与临床表现 ,觉醒次数增加,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,高血压,关联,日间过度思睡（EDS）,疾病病种,日间过度思睡临床诊断和治疗专家共识
睡眠障碍相关疾病,癫痫,关联,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
症状与临床表现 ,呼吸暂停,关联,睡眠相关的节律性运动障碍,疾病病种,睡眠相关的节律性运动障碍
睡眠障碍相关疾病,癫痫,关联,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
睡眠障碍相关疾病,精神分裂症,关联,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
症状与临床表现 ,觉醒次数增加,关联,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
睡眠障碍相关疾病,精神障碍,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,帕金森病,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,呼吸暂停,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,癫痫,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,双相障碍,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,精神分裂症,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,高血压,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,抑郁症,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,肥胖,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,中枢性呼吸暂停,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,精力不足,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,心悸,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,入睡困难,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,焦虑症,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,睡眠维持困难,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,睡眠不安,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,冠心病,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,抑郁症状,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,直立性低血压,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,打鼾,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,呼吸努力相关觉醒,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,阻塞性呼吸暂停,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,混合性呼吸暂停,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,难以入睡,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,觉醒次数增加,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,总睡眠时间不足,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,情绪不稳,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,频繁觉醒,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,窒息感,关联,睡眠医学,疾病病种,睡眠医学_14370617
症状与临床表现 ,夜间呼吸暂停,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,多发性硬化,关联,睡眠医学,疾病病种,睡眠医学_14370617
睡眠障碍相关疾病,精神障碍,关联,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
症状与临床表现 ,入睡困难,关联,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
睡眠障碍相关疾病,帕金森病,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
睡眠障碍相关疾病,多发性硬化,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
症状与临床表现 ,入睡困难,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
症状与临床表现 ,睡眠维持困难,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
睡眠障碍相关疾病,精神障碍,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
睡眠障碍相关疾病,癫痫,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
症状与临床表现 ,呼吸暂停,关联,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
睡眠障碍相关疾病,精神障碍,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
症状与临床表现 ,呼吸暂停,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
症状与临床表现 ,睡眠维持困难,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
症状与临床表现 ,入睡困难,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
症状与临床表现 ,抑郁症状,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
睡眠障碍相关疾病,抑郁症,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
症状与临床表现 ,直立性低血压,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
睡眠障碍相关疾病,高血压,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
睡眠障碍相关疾病,肥胖,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
睡眠障碍相关疾病,精神分裂症,关联,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
睡眠障碍相关疾病,肥胖,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
睡眠障碍相关疾病,高血压,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
症状与临床表现 ,呼吸暂停,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
症状与临床表现 ,阻塞性呼吸暂停,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
症状与临床表现 ,打鼾,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
症状与临床表现 ,睡眠不安,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
症状与临床表现 ,中枢性呼吸暂停,关联,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
睡眠障碍相关疾病,肥胖,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,精神障碍,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
症状与临床表现 ,睡眠不安,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,精神分裂症,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
症状与临床表现 ,打鼾,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,抑郁症,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,双相障碍,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,癫痫,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
症状与临床表现 ,呼吸暂停,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
症状与临床表现 ,心悸,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,高血压,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
睡眠障碍相关疾病,焦虑症,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
症状与临床表现 ,直立性低血压,关联,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
症状与临床表现 ,呼吸暂停,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,高血压,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
症状与临床表现 ,入睡困难,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
症状与临床表现 ,睡眠维持困难,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,冠心病,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
症状与临床表现 ,打鼾,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,精神障碍,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,癫痫,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,肥胖,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,抑郁症,关联,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
睡眠障碍相关疾病,帕金森病,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,睡眠维持困难,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,频繁觉醒,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,入睡困难,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,抑郁症状,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
睡眠障碍相关疾病,癫痫,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
睡眠障碍相关疾病,高血压,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,打鼾,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,呼吸暂停,关联,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
症状与临床表现 ,呼吸暂停,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,高血压,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
症状与临床表现 ,入睡困难,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
症状与临床表现 ,睡眠维持困难,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,冠心病,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
症状与临床表现 ,打鼾,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,精神障碍,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,癫痫,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,肥胖,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,抑郁症,关联,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
睡眠障碍相关疾病,精神障碍,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,帕金森病,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,呼吸暂停,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,癫痫,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,双相障碍,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,精神分裂症,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,高血压,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,抑郁症,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,肥胖,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,中枢性呼吸暂停,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,精力不足,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,心悸,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,入睡困难,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,焦虑症,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,睡眠维持困难,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,睡眠不安,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,冠心病,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,抑郁症状,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,直立性低血压,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,打鼾,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,呼吸努力相关觉醒,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,阻塞性呼吸暂停,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,混合性呼吸暂停,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,难以入睡,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,觉醒次数增加,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,总睡眠时间不足,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,情绪不稳,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,频繁觉醒,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,窒息感,关联,睡眠障碍,疾病病种,《睡眠医学》
症状与临床表现 ,夜间呼吸暂停,关联,睡眠障碍,疾病病种,《睡眠医学》
睡眠障碍相关疾病,多发性硬化,关联,睡眠障碍,疾病病种,《睡眠医学》
