节点1实体类型,实体名称,关系类型,节点2实体名称,节点2实体类型,数据来源
诊断标准,CA,诊断,睡眠相关的节律性运动障碍(SRMD),疾病病种,睡眠相关的节律性运动障碍的临床特点
诊断标准,体动记录仪,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,睡眠日记,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,年龄,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,程度,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,环境,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,深睡眠,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,持续时间,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,CA,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,光线,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,温度,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,性别,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,熬夜,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,睡眠信念和态度问卷,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,作息规律,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,生活习惯,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,饮食习惯,诊断,睡眠医学,疾病病种,睡眠医学_14370617
检查与测试,湿度,诊断,睡眠医学,疾病病种,睡眠医学_14370617
诊断标准,程度,诊断,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
诊断标准,持续时间,诊断,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
检查与测试,环境,诊断,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
检查与测试,年龄,诊断,就寝问题和夜醒,疾病病种,中国 6 岁以下儿童就寝问题和夜醒 治疗指南（2023）
诊断标准,程度,诊断,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
检查与测试,年龄,诊断,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
检查与测试,环境,诊断,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
检查与测试,性别,诊断,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
诊断标准,CA,诊断,不宁腿综合征(RIS),疾病病种,中国不宁腿综合征的诊断与治疗指南 (2021版)
诊断标准,持续时间,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
诊断标准,程度,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
诊断标准,睡眠日记,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
诊断标准,体动记录仪,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
检查与测试,环境,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
检查与测试,年龄,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
诊断标准,CA,诊断,失眠,疾病病种,中国成人失眠诊断与治疗指南（2023 版）
诊断标准,持续时间,诊断,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
诊断标准,低通气的次数,诊断,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
检查与测试,年龄,诊断,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
诊断标准,程度,诊断,儿童阻塞性睡眠呼吸暂停,疾病病种,中国儿童阻塞性睡眠呼吸暂停诊断与治疗 指南(2020)
检查与测试,年龄,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
诊断标准,程度,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
诊断标准,CA,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
诊断标准,体动记录仪,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
诊断标准,睡眠日记,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
检查与测试,环境,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
诊断标准,持续时间,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
检查与测试,光线,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
检查与测试,温度,诊断,发作性睡病,疾病病种,中国发作性睡病诊断与治疗指南（2022 版）
诊断标准,程度,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
检查与测试,年龄,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
检查与测试,环境,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
诊断标准,睡眠日记,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
诊断标准,体动记录仪,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
检查与测试,生活习惯,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
检查与测试,噪音,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
诊断标准,CA,诊断,快速眼球运动睡眠期行为障碍,疾病病种,中国快速眼球运动睡眠期行为障碍 诊断与治疗专家共识
检查与测试,性别,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
诊断标准,体动记录仪,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
诊断标准,程度,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
诊断标准,CA,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
检查与测试,年龄,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
检查与测试,环境,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
检查与测试,生活习惯,诊断,快睡眠障碍,疾病病种,中国帕金森病睡眠障碍管理专家共识
诊断标准,程度,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
检查与测试,年龄,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
检查与测试,环境,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
诊断标准,睡眠日记,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
诊断标准,体动记录仪,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
检查与测试,生活习惯,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
检查与测试,噪音,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
诊断标准,CA,诊断,卒中相关睡眠障碍,疾病病种,卒中相关睡眠障碍评估与管理中国专家共识
诊断标准,体动记录仪,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,睡眠日记,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,年龄,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,程度,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,环境,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,深睡眠,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,持续时间,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,CA,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,光线,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,温度,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,性别,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,熬夜,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,睡眠信念和态度问卷,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,作息规律,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,生活习惯,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,饮食习惯,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,湿度,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,进食不易消化的食物,诊断,睡眠障碍,疾病病种,《睡眠医学》
诊断标准,骨密度,诊断,睡眠障碍,疾病病种,《睡眠医学》
检查与测试,昼夜颠倒,诊断,睡眠障碍,疾病病种,《睡眠医学》
